Tract Code (id),City,Median Age,Median Household Income,Percent People in Poverty,Population Density (Persons/Acre),# of Nearby Restaurants,# of Nearby Coffee Shops,# of Nearby Mosques,lat,lon,transit_stops,pedestrian_score,county_id,income_bracket,density_bracket,restaurant_to_coffee_ratio,coffee_shop_density,potential_demand_index,mosque_index,affordability_index,success_score
2155,Milford,0.37468982630272973,0.33692715100778264,0.20150033751663954,0.1899174181542148,0.0,0.0,0.0,43.7443885,-85.56545223,0.0,0.003143006809848088,123.0,High,Low,0.0,0.0,0.36376105786216895,0.0,1.6720839432639494e-06,0.1914120499038081
2072,Farmington Hills,0.3573200992555833,0.33396877065358627,0.14450377273093826,0.18603394974574372,0.05,0.0,0.0,43.3847925,-84.53809526,0.0,0.005238344683080147,57.0,High,Low,50000.00000000001,0.0,0.3603918886706003,0.0,2.311126230241695e-06,0.19088418609535815
3110,Shelby Twp,0.4590570719602979,0.27876215611076394,0.1579290667056068,0.16797949663595127,0.05,0.0,0.0,43.5950015,-86.19329861,0.0,0.015453116815086433,127.0,Upper-Middle,Low,50000.00000000001,0.0,0.34562047735495305,0.0,1.765098704291672e-06,0.18872343988074208
6050,Columbus Twp,0.3697270471464019,0.2877856657929404,0.07760564639980048,0.005560992109196225,1.0,0.8,0.0,42.605468,-83.92062291,0.0,0.5743844944997383,93.0,Upper-Middle,Low,1.249998437501953,0.0004794445253271012,8.173951070506033e-07,0.0,3.7082605568391142e-06,0.18611067572331616
2295,Wixom,0.23076923076923073,0.18315431685242722,0.20248661402287124,0.13521507564108487,0.1,0.0,0.0,46.1931545,-86.97252072,0.0,0.027763226820324782,3.0,Upper-Middle,Low,100000.00000000001,0.0,0.3070807661521537,0.0,9.045210875552106e-07,0.18093485646530466
2025,Bingham Farms,1.0,0.8594949172507745,0.6617886123225514,0.10008754393170091,0.45,0.0,0.0,42.7968105,-83.55970558,0.0,0.054216867469879526,163.0,High,Low,450000.00000000006,0.0,0.29073754849892286,0.0,1.2987434393755082e-06,0.18081717699390054
2285,West Bloomfield Twp,0.4838709677419356,0.44771354965178334,0.13981084645300906,0.15558227712782427,0.05,0.0,0.0,46.33589,-86.46947235,0.0,0.006809848088004192,3.0,High,Low,50000.00000000001,0.0,0.3059762996282113,0.0,3.2022576127142442e-06,0.177516192571776
2172,Novi Twp,0.4838709677419356,0.5925438024629192,0.021333490450171806,0.16116423492195486,0.0,0.0,0.0,43.656986,-85.70978905,0.0,0.0007857517024620222,123.0,High,Low,0.0,0.0,0.3051432286128515,0.0,2.77739842836578e-05,0.1764092247054389
4090,Saline,0.47146401985111674,0.28360886435061755,0.12502621757151192,0.15476623995707503,0.0,0.0,0.0,43.457717,-82.73005228,0.0,0.0007857517024620222,151.0,Upper-Middle,Low,0.0,0.0,0.2930882208275261,0.0,2.268376997099864e-06,0.17339037163765025
4025,Chelsea,0.5905707196029778,0.19836434836951883,0.08341830260590179,0.1085265308163559,0.1,0.0,0.0,42.3248155,-84.11222546,0.0,0.035620743844945006,163.0,Upper-Middle,Low,100000.00000000001,0.0,0.27159962120251024,0.0,2.3779190447881406e-06,0.17324349246117826
