Tract Code (id),City,Median Age,Median Household Income,Percent People in Poverty,Population Density (Persons/Acre),# of Nearby Restaurants,# of Nearby Coffee Shops,# of Nearby Mosques,lat,lon,transit_stops,pedestrian_score,county_id,income_bracket,density_bracket
1075,Grosse Pointe Park,0.33498759305210923,0.42358791290312436,0.12096115564841227,0.3929680841158944,1.0,0.6000000000000001,0.10526315789473684,42.32527,-83.06140816,0.0,0.8512310110005238,151.0,High,Moderate
1085,Grosse Pointe Woods,0.40446650124069483,0.457964472459637,0.09638883631124608,0.37451567502819466,0.9,0.4,0.05263157894736842,42.2987805,-83.10334573,0.0,0.2454164484023048,145.0,High,Moderate
1090,Hamtramck,0.0,0.056294651086462935,0.927620165749199,1.0,0.9500000000000001,0.5,0.05263157894736842,42.305196,-83.10162443,0.0,0.2689889994761655,151.0,Middle,Dense
1095,Harper Woods,0.2506203473945411,0.15225317980927888,0.4751466724779736,0.4341790687315444,0.9,0.55,0.05263157894736842,42.3037565,-83.09738216,0.0,0.23991618648507068,161.0,Upper-Middle,Moderate
1100,Highland Park,0.4491315136476427,0.0,1.0,0.22193365373077573,0.15000000000000002,0.25,0.0,42.3017565,-83.10409977,0.0,0.08276584599266631,161.0,Low,Low
1105,Huron Twp,0.39205955334987597,0.2846339566314029,0.1690411320333666,0.032632458851404984,0.8,0.5,0.15789473684210525,42.297726,-83.11612888,0.0,0.22262964903090618,145.0,Upper-Middle,Low
1110,Inkster,0.18362282878411917,0.05417702624326161,0.8811267190878515,0.3062159787768966,0.75,0.55,0.05263157894736842,42.29738,-83.1124705,0.0,0.19984284965950758,163.0,Middle,Moderate
1115,Lincoln Park,0.19602977667493804,0.1330866517698578,0.532942543979407,0.5072768422510874,0.35000000000000003,0.35000000000000003,0.21052631578947367,42.295894,-83.12681422,0.0,0.2194866422210581,163.0,Middle,Moderate
1120,Livonia,0.4491315136476427,0.3090338505253598,0.1053053240757911,0.1954877620493878,0.55,0.5,0.3157894736842105,42.2918205,-83.13188373,0.0,0.180722891566265,145.0,Upper-Middle,Low
1125,Melvindale,0.11414392059553358,0.06192816261200708,0.833874136737137,0.3429826454324687,0.4,0.30000000000000004,0.3157894736842105,42.2921595,-83.13537019,0.0,0.14955474070193814,163.0,Middle,Moderate
1135,Northville Twp,0.456575682382134,0.51359820878612,0.06074884693862539,0.14016466831741306,0.75,0.6000000000000001,0.2631578947368421,42.2915755,-83.12905231,0.0,0.24279727606076476,163.0,High,Low
1140,Plymouth,0.42431761786600497,0.37838494013551005,0.06494933573504003,0.3111564754876581,0.8500000000000001,0.7000000000000001,0.3157894736842105,42.2891765,-83.13392114,0.0,0.1977475117862755,163.0,High,Moderate
1145,Plymouth Twp,0.4913151364764269,0.37095302109981615,0.08898825374741848,0.12630924659032092,0.7000000000000001,0.55,0.21052631578947367,42.2935215,-83.12531227,0.0,0.26375065479308535,163.0,High,Low
1150,Redford Twp,0.2754342431761788,0.17742189291382482,0.273628851262153,0.3232797935197236,0.8,0.55,0.15789473684210525,42.294439,-83.1139205,0.0,0.24751178627553688,163.0,Upper-Middle,Moderate
1155,River Rouge,0.23821339950372222,0.022417149614016793,0.9719618778677973,0.18740772678704454,0.75,0.5,0.05263157894736842,42.296981,-83.10973923,0.0,0.1757464641173389,163.0,Low,Low
1160,Riverview,0.3523573200992557,0.19872852589032414,0.19071853320369492,0.20723932382192184,0.7000000000000001,0.5,0.05263157894736842,42.29442,-83.11156335,0.0,0.21529596647459398,163.0,Upper-Middle,Low
1165,Rockwood,0.3771712158808934,0.2599103493856191,0.24064890252466337,0.08616854267232808,0.75,0.5,0.05263157894736842,42.29505,-83.10834549,0.0,0.19303300157150338,71.0,Upper-Middle,Low
1170,Romulus,0.2109181141439207,0.20076072637679337,0.2595459365259198,0.04954216217393505,0.45,0.2,0.15789473684210525,42.287637,-83.1269893,0.0,0.14588789942378208,163.0,Upper-Middle,Low
1175,Southgate,0.3076923076923077,0.16659098368394787,0.23018098252557406,0.3214568666741828,0.5,0.30000000000000004,0.21052631578947367,42.289667,-83.12479556,0.0,0.2079622839182818,163.0,Upper-Middle,Moderate
1180,Sumpter Twp,0.3548387096774194,0.20382701118159874,0.2830901613331353,0.016450353826235286,0.7000000000000001,0.5,0.15789473684210525,42.292307,-83.12006645,0.0,0.2585123101100052,163.0,Upper-Middle,Low
1185,Taylor,0.2803970223325062,0.14367027996708914,0.3997746293984727,0.1967164152333875,0.8,0.5,0.15789473684210525,42.292521,-83.11428851,0.0,0.23598742797276057,163.0,Middle,Low
1190,Trenton,0.5285359801488835,0.22922052522491337,0.16615054858683675,0.18377807592442102,0.65,0.5,0.15789473684210525,42.2916165,-83.11626525,0.0,0.22812991094814036,163.0,Upper-Middle,Low
1200,Van Buren Twp,0.39454094292803965,0.21592579770613124,0.26992050540227164,0.060042884305242086,0.6000000000000001,0.5,0.15789473684210525,42.291358,-83.1218387,0.0,0.24567836563645884,163.0,Upper-Middle,Low
1205,Wayne,0.3101736972704715,0.12087546477594092,0.3661776211978839,0.2155516968417608,0.0,0.0,0.0,45.072146,-84.36592414,0.0,0.0007857517024620219,119.0,Middle,Low
1215,Woodhaven,0.4590570719602979,0.25046870995733284,0.28725013546737327,0.14671837983321884,0.15000000000000002,0.05,0.0,43.6864455,-85.83781969,0.0,0.020953378732320588,123.0,Upper-Middle,Low
2010,Rochester Hills,0.3449131513647644,0.41125982942104766,0.11095948808200068,0.17127875519750413,0.25,0.05,0.0,42.67297,-83.65154406,0.0,0.0322158198009429,157.0,High,Low
2020,Beverly Hills,0.4590570719602979,0.6648622644648164,0.044040210966664675,0.19380471556360698,0.7000000000000001,0.6000000000000001,0.0,42.5744455,-83.39531244,0.0,0.17077003666841276,163.0,High,Low
2025,Bingham Farms,1.0,0.8594949172507745,0.6617886123225514,0.10008754393170091,0.45,0.0,0.0,42.7968105,-83.55970558,0.0,0.05421686746987951,163.0,High,Low
2035,Bloomfield Hills,0.5459057071960299,0.7766242991830734,0.0775869059753658,0.0633211307788002,0.8500000000000001,0.35000000000000003,0.0,42.8323815,-83.62597253,0.0,0.12807752750130955,163.0,High,Low
2040,Bloomfield Twp,0.5285359801488835,0.5832145635040172,0.11345490016346314,0.12506904923266984,1.0,0.65,0.05263157894736842,42.62858,-83.35287844,0.0,0.2333682556312205,163.0,High,Low
