Tract Code (id),City,Median Age,Median Household Income,Percent People in Poverty,Population Density (Persons/Acre),# of Nearby Restaurants,# of Nearby Coffee Shops,# of Nearby Mosques,lat,lon,transit_stops,pedestrian_score,county_id
6005,Algonac,47.9,49738,0.177111057,4.572687225,19,4,0,42.8057275,-82.49028552,1,1.466,161
6010,Berlin Twp(St.Clair),48.2,91889,0.05880473,0.131470588,18,17,0,42.945652,-82.45523137,1,1.886,161
6015,Brockway Twp,47.5,81957,0.114044944,0.08202765,20,8,0,42.965439,-82.49336939,1,,147
6020,Burtchville Twp,45.1,66342,0.113328406,0.409246231,20,8,0,42.965223,-82.48607347,1,1.15,147
6025,Capac,37.3,61000,0.130249867,1.572727273,18,14,1,42.966147,-82.45550282,1,2.192,147
6030,Casco Twp,39.6,79375,0.058423571,0.168607595,17,12,0,42.9652815,-82.45297325,1,2.156,147
6035,China Twp,44.2,97500,0.045688178,0.159727273,18,14,1,42.9651945,-82.45669455,1,2.144,147
6040,Clay Twp,54.9,84318,0.079149652,0.367161572,19,20,0,43.602456,-83.90905598,1,2.424,17
6045,Clyde Twp,47.2,86250,0.042408665,0.238478261,20,15,0,42.6078475,-83.92772486,1,6.788,93
6050,Columbus Twp,41.9,91591,0.035801266,0.173983051,20,16,0,42.605468,-83.92062291,1,4.392,93
6055,Cottrellville Twp,44.3,83844,0.05235449,0.251397059,20,17,0,42.602473,-83.91408166,1,3.088,93
6060,East China Twp,57.5,67539,0.099634112,0.869339623,,,,,,0,,
6065,Emmett,31.1,117539,0.028169014,0.222338205,,,,,,0,,
6070,Emmett Twp,48,88541,0.101177497,0.106175115,,,,,,0,,
6075,Fort Gratiot Twp,50.5,81293,0.047808405,1.096990291,,,,,,0,,
6080,Grant Twp,48.2,85909,0.124927704,0.090680628,,,,,,0,,
6085,Greenwood Twp,46,71071,0.193295292,0.061347826,,,,,,0,,
6090,Ira Twp,45.1,79345,0.101606426,0.456880734,,,,,,0,,
6095,Kenockee Twp,46.3,70057,0.216129032,0.107826087,,,,,,0,,
6100,Kimball Twp,41.2,69600,0.078115183,0.400708333,,,,,,0,,
6105,Lynn Twp,49.1,58472,0.151992586,0.046709957,,,,,,0,,
6110,Marine City,49.2,63156,0.073634791,2.890714286,,,,,,0,,
6115,Marysville,43.6,69661,0.062366467,2.124358974,,,,,,0,,
6125,Mussey Twp,46,79856,0.008695652,0.105990783,,,,,,0,,
6135,Port Huron,38.3,49377,0.221254294,5.450474383,,,,,,0,,
6140,Port Huron Twp,40.6,60545,0.150890708,1.284624553,,,,,,0,,
6145,Riley Twp,44.8,103026,0.040164453,0.130979592,,,,,,0,,
6150,St.Clair,43.4,68482,0.095503597,2.937368421,,,,,,0,,
6155,St.Clair Twp,45.9,90774,0.05057926,0.287530364,,,,,,0,,
6160,Wales Twp,42.2,84939,0.036769327,0.132583333,,,,,,0,,
6165,Yale,33.4,50673,0.215287857,2.42632171,,,,,,0,,
7005,Brighton,46.7,81772,0.061411671,3.223829787,18,19,0,42.272538,-83.7433474,1,7.282,161
7010,Brighton Twp,43.1,126576,0.027581515,0.871221719,6,0,0,42.763978,-82.48634364,1,0.252,147
7015,Cohoctah Twp,51.3,80943,0.019444444,0.131707317,,,,,,0,,
7020,Conway Twp,35,98646,0.041793523,0.149297521,,,,,,0,,
7025,Deerfield Twp,40.8,90163,0.027811076,0.173112033,,,,,,0,,
7030,Fowlerville,38.6,43155,0.151864407,1.979865772,,,,,,0,,
7035,Genoa Twp,45.2,99812,0.064748552,0.891336207,,,,,,0,,
7040,Green Oak Twp,46.4,116444,0.039556472,0.831561181,,,,,,0,,
7045,Hamburg Twp,48.8,114347,0.04832101,0.922121212,,,,,,0,,
7050,Handy Twp,40,98569,0.046954093,0.278592233,,,,,,0,,
7055,Hartland Twp,43.3,103208,0.033051399,0.644476987,,,,,,0,,
7060,Howell,38.6,57122,0.070930837,3.071341463,,,,,,0,,
7065,Howell Twp,39.3,84045,0.052239732,0.39795122,,,,,,0,,
7070,Iosco Twp,42.8,115729,0.045630317,0.171365639,,,,,,0,,
7075,Marion Twp,43.4,126328,0.037140124,0.500478261,,,,,,0,,
7080,Oceola Twp,40.5,117282,0.016642794,0.624808511,,,,,,0,,
7085,Pinckney,42.2,92159,0.042857143,1.794392523,,,,,,0,,
7090,Putnam Twp,45,95238,0.14499328,0.274285714,,,,,,0,,
7095,Tyrone Twp,41.5,101667,0.056112224,0.509617021,,,,,,0,,
7100,Unadilla Twp,54.5,71953,0.087047562,0.150630631,,,,,,0,,
8005,Village of Grosse Pointe Shores,49.4,182000,0.028239845,3.575966851,,,,,,0,,
8010,Memphis,41.6,60884,0.23275069,1.502035278,,,,,,0,,
8015,Milan,37.2,93016,0.093574959,2.709821429,,,,,,0,,
8020,Northville,46.1,143875,0.033564815,4.606060606,,,,,,0,,
